"grid","weight","RawBasis1","RawBasis2","RawBasis3","RawBasis4","RawBasis5","RawBasis6","RawBasis7","Basis1","Basis2","Basis3","Basis4","Basis5","Basis6","Basis7"
0.460410557184751,0.000977517106549365,0,0.000992791730800965,0.256067630118005,0.643575066409518,0.099364511741676,0,0,0,0.00484660185504116,-1.14355519268143,1.48320922973407,1.00374539688625,0.620387030670462,0.306531127932484
0.4613880742913,0.000977517106549365,0,0.000921052463325895,0.253668442125113,0.644654678682372,0.10075582672919,0,0,0,0.00449638573615442,-1.1330824321546,1.49597610834254,1.00734412083491,0.621254732962742,0.306742120451159
0.462365591397849,0.000977517106549365,0,0.000852855137706269,0.251276278236322,0.645710797568741,0.10216006905723,0,0,0,0.00416346063756373,-1.1226274393771,1.50863702606542,1.01078889808635,0.622004327374427,0.306891038383602
0.463343108504399,0.000977517106549365,0,0.000788110084528024,0.248891347680266,0.646743243729798,0.103577298505408,0,0,0,0.00384738881191984,-1.11219149885807,1.52119031481641,1.0140781066737,0.622634669967525,0.306977293461592
0.464320625610948,0.000977517106549365,0,0.000726727634377098,0.246513859685577,0.647751837826715,0.105007574853331,0,0,0,0.00354773251187347,-1.10177589510666,1.53363430650921,1.01721012463014,0.623144616804046,0.307000297416915
0.465298142717498,0.000977517106549365,0,0.00066861811783943,0.244144023480888,0.648736400520663,0.10645095788061,0,0,0,0.00326405399007536,-1.09138191263202,1.54596733305753,1.0201833299888,0.623533023945999,0.306959461981351
0.466275659824047,0.000977517106549365,0,0.000613691865500958,0.241782048294831,0.649696752472814,0.107907507366854,0,0,0,0.00299591549917624,-1.08101083594331,1.55818772637507,1.02299610078285,0.623798747455394,0.306854198886686
0.467253176930596,0.000977517106549365,0,0.00056185920794762,0.23942814335604,0.65063271434434,0.109377283091671,0,0,0,0.00274287929182684,-1.07066394954966,1.57029381837553,1.02564681504544,0.623940643394239,0.3066839198647
0.468230694037146,0.000977517106549365,0,0.000513030475765354,0.237082517893148,0.651544106796414,0.110860344834673,0,0,0,0.0025045076206779,-1.06034253796022,1.5822839409726,1.02813385080972,0.623957567824545,0.306448036647177
0.469208211143695,0.000977517106549365,0,0.000467115999540096,0.234745381134786,0.652430750490206,0.112356752375467,0,0,0,0.00228036273838013,-1.05004788568416,1.59415642608001,1.03045558610885,0.62384837680832,0.306145960965899
