"grid","weight","RawBasis1","RawBasis2","RawBasis3","Basis1","Basis2","Basis3"
0.18475073313783,0.000977517106549365,0.0105389546283525,0.487621644762586,-0.316673008516669,0.0334299250511901,-1.28755795744789,-0.794053736460242
0.185728250244379,0.000977517106549365,0.0127970906781696,0.487107811103704,-0.316196283637882,0.0405928099446966,-1.28232538358512,-0.794363983073978
0.186705767350929,0.000977517106549365,0.015051957241135,0.486594552242964,-0.315718522192135,0.0477453239139262,-1.27709993288248,-0.794668529832221
0.187683284457478,0.000977517106549365,0.0173035371094229,0.486081871205622,-0.315239718723811,0.054887412375066,-1.27188164283029,-0.794967346735735
0.188660801564027,0.000977517106549365,0.019551813075208,0.485569771016929,-0.314759867777296,0.0620190207443052,-1.26667055091886,-0.795260403785278
0.189638318670577,0.000977517106549365,0.0217967679306647,0.48505825470214,-0.314278963896974,0.0691400944378309,-1.26146669463851,-0.795547670981613
0.190615835777126,0.000977517106549365,0.0240383844679674,0.484547325286508,-0.313797001627229,0.0762505788718314,-1.25627011147955,-0.795829118325499
0.191593352883675,0.000977517106549365,0.0262766454792907,0.484036985795286,-0.313313975512446,0.0833504194624948,-1.25108083893231,-0.796104715817697
0.192570869990225,0.000977517106549365,0.0285115337568088,0.483527239253728,-0.312829880097008,0.0904395616260089,-1.2458989144871,-0.796374433458967
0.193548387096774,0.000977517106549365,0.0307430320926965,0.483018088687086,-0.312344709925301,0.0975179507785621,-1.24072437563423,-0.79663824125007
0.194525904203324,0.000977517106549365,0.032971123279128,0.482509537120615,-0.311858459541709,0.104585532336342,-1.23555725986402,-0.796896109191768
0.195503421309873,0.000977517106549365,0.035195790108278,0.482001587579567,-0.311371123490616,0.111642251715537,-1.23039760466679,-0.797148007284819
0.196480938416422,0.000977517106549365,0.0374170153723207,0.481494243089197,-0.310882696316407,0.118688054332335,-1.22524544753286,-0.797393905529985
0.197458455522972,0.000977517106549365,0.0396347818634307,0.480987506674757,-0.310393172563467,0.125722885602923,-1.22010082595253,-0.797633773928026
0.198435972629521,0.000977517106549365,0.0418490723737825,0.480481381361501,-0.309902546776178,0.132746690943491,-1.21496377741613,-0.797867582479704
0.19941348973607,0.000977517106549365,0.0440598696955506,0.479975870174682,-0.309410813498927,0.139759415770226,-1.20983433941398,-0.798095301185778
0.20039100684262,0.000977517106549365,0.0462671566209092,0.479470976139554,-0.308917967276097,0.146761005499315,-1.20471254943639,-0.798316900047009
0.201368523949169,0.000977517106549365,0.0484709159420331,0.47896670228137,-0.308424002652073,0.153751405546948,-1.19959844497367,-0.798532349064157
0.202346041055718,0.000977517106549365,0.0506711304510966,0.478463051625384,-0.307928914171239,0.160730561329311,-1.19449206351615,-0.798741618237985
0.203323558162268,0.000977517106549365,0.0528677829402741,0.477960027196848,-0.307432696377979,0.167698418262594,-1.18939344255414,-0.79894467756925
0.204301075268817,0.000977517106549365,0.0550608562017403,0.477457632021016,-0.306935343816679,0.174654921762984,-1.18430261957795,-0.799141497058715
0.205278592375367,0.000977517106549365,0.0572503330276694,0.476955869123142,-0.306436851031722,0.181600017246668,-1.17921963207791,-0.79933204670714
0.206256109481916,0.000977517106549365,0.0594361962102361,0.476454741528479,-0.305937212567493,0.188533650129836,-1.17414451754433,-0.799516296515286
