"SNP_model","predictor","grid","coordinate_1","coordinate_2","coordinate_1_raw","coordinate_2_raw"
"rs929708","intercept",0.646464646464647,-0.250523555241071,-0.992440568238071,-0.25118438273195,-0.993191960617305
"rs929708","intercept",0.656565656565657,-0.253149960234005,-0.983948958982412,-0.250735299618672,-0.982310475262066
"rs929708","intercept",0.666666666666667,-0.259536084027527,-0.961655936200932,-0.259620791053677,-0.961240570233589
"rs929708","intercept",0.676767676767677,-0.258559181036772,-0.947970884510265,-0.261793499679848,-0.950191001150679
"rs929708","intercept",0.686868686868687,-0.243525941111784,-0.939457590861502,-0.24280377776352,-0.938918156988719
"rs929708","intercept",0.696969696969697,-0.212664044605846,-0.932177515332843,-0.210875217621939,-0.928804017553012
"rs929708","intercept",0.707070707070707,-0.175689089279127,-0.940257318415392,-0.176938979824295,-0.944711432197621
"rs929708","intercept",0.717171717171717,-0.131063867851719,-0.960698374099461,-0.131334102974651,-0.960299781154678
"rs929708","intercept",0.727272727272727,-0.0753890259350121,-0.987277973778407,-0.0750431993868458,-0.983451519922483
"rs929708","intercept",0.737373737373737,-0.0128830573901913,-1.02396143750201,-0.0130837578478443,-1.02735138450054
"rs929708","intercept",0.747474747474748,0.0511043519178793,-1.06924316132718,0.0513767148715609,-1.06873421287455
"rs929708","intercept",0.757575757575758,0.114154610267162,-1.09691406302977,0.114047315340946,-1.09596871504652
"rs929708","intercept",0.767676767676768,0.173974451625312,-1.1022201146162,0.17417839497566,-1.10228952057206
"rs929708","intercept",0.777777777777778,0.229424274396198,-1.08520271673927,0.230523761575903,-1.0871028754679
"rs929708","intercept",0.787878787878788,0.284239213784824,-1.04084639661603,0.282932755919458,-1.03884217130726
"rs929708","intercept",0.797979797979798,0.341918594273457,-0.982500453228625,0.34061482306773,-0.981382260701851
"rs929708","intercept",0.808080808080808,0.403410556718003,-0.92707134348363,0.405098176152182,-0.931042051174866
"rs929708","intercept",0.818181818181818,0.461009968720123,-0.884756566519755,0.459921245729191,-0.881579814551831
"rs929708","intercept",0.828282828282828,0.504860050180182,-0.866044133272663,0.504628955056652,-0.866558207877074
"rs929708","intercept",0.838383838383838,0.52608686742344,-0.882316635011468,0.527681435210349,-0.883330057679105
"rs929708","intercept",0.848484848484849,0.519572813290837,-0.919018715755172,0.520006252623356,-0.91789403040121
"rs929708","intercept",0.858585858585859,0.484133469517544,-0.957082479127612,0.48423103851295,-0.957718123526556
"rs929708","intercept",0.868686868686869,0.430572517512244,-0.987295565660992,0.430631819743002,-0.987462266702382
"rs929708","intercept",0.878787878787879,0.372802823496928,-0.997454808243541,0.373608296188351,-0.996234197942155
"rs929708","intercept",0.888888888888889,0.325757929290816,-0.964230991252903,0.324693515688665,-0.965966508614946
"rs929708","intercept",0.898989898989899,0.306771680678113,-0.901611083090399,0.305297687128074,-0.900894589287657
"rs929708","intercept",0.909090909090909,0.327086944479652,-0.832398231034896,0.326278043619703,-0.83124712683203
"rs929708","intercept",0.919191919191919,0.3756641601823,-0.770089786697218,0.378857296934044,-0.77192338998971
"rs929708","intercept",0.929292929292929,0.452279282650337,-0.719108020458266,0.450292424206275,-0.71854230570639
"rs929708","intercept",0.93939393939394,0.559465290668785,-0.676712769390954,0.558336937404389,-0.675844969466452
"rs929708","intercept",0.94949494949495,0.69330472834735,-0.618712678470025,0.694354744675813,-0.619201316640142
"rs929708","intercept",0.95959595959596,0.846390382074517,-0.517904170235076,0.841509063945062,-0.519031726828567
"rs929708","intercept",0.96969696969697,0.998201621449496,-0.356787168524419,1.00030832249894,-0.354620350819898
"rs929708","intercept",0.97979797979798,1.10392138470005,-0.12141696853032,1.11112511490869,-0.123546685587445
"rs929708","intercept",0.98989898989899,1.12996511019928,0.163341118579104,1.12930942436075,0.164669767226844
"rs929708","intercept",1,1.11009751922058,0.318586513496939,1.10667739243192,0.318208083691976
"rs929708","male",0,0.037954101236337,-0.0477112622874592,0.0375369129952527,-0.0476581146656244
"rs929708","male",0.0101010101010101,0.028270685713888,-0.0319795983884022,0.0288931411299094,-0.0321598506496505
"rs929708","male",0.0202020202020202,0.001356671451058,-0.00953643618457633,0.00210280626797059,-0.00936952713401638
"rs929708","male",0.0303030303030303,-0.0221348489469594,-0.000256787826932573,-0.0228608218354616,8.31366285583198e-05
"rs929708","male",0.0404040404040404,-0.0224007888964518,0.0120486011219007,-0.0252298244931595,0.01078526040928
"rs929708","male",0.0505050505050505,-0.0194902125292972,0.0282632991928948,-0.0150847910171729,0.0298725277425152
"rs929708","male",0.0606060606060606,-0.0193937551537567,0.0380047192638164,-0.0202082563499594,0.0372679159970857
"rs929708","male",0.0707070707070707,-0.0214596676044993,0.0326782441363988,-0.0243308668020874,0.0324185691989195
"rs929708","male",0.0808080808080808,-0.0240895604245062,0.0187768527632879,-0.021682175745789,0.0189412090727099
"rs929708","male",0.0909090909090909,-0.0262725993608599,0.00591662410442528,-0.0259753831640491,0.00659446710415193
"rs929708","male",0.101010101010101,-0.0291600962334193,-0.000705608318277304,-0.0308356453996277,-0.00185665020219193
"rs929708","male",0.111111111111111,-0.0301887179977963,-0.00383800727853473,-0.0291083376718179,-0.00311652421372466
"rs929708","male",0.121212121212121,-0.0277338533733767,-0.00763933299699993,-0.0278782308949835,-0.00754525515524851
"rs929708","male",0.131313131313131,-0.0264367362537046,-0.0139637894519387,-0.026587205427619,-0.0143571058021187
"rs929708","male",0.141414141414141,-0.0249004292425859,-0.0216491336924763,-0.0246713080192122,-0.0216904002423252
"rs929708","male",0.151515151515152,-0.0204272587071066,-0.0281849711676473,-0.0207267373765169,-0.02771459356447
"rs929708","male",0.161616161616162,-0.0132282141563012,-0.0282712959859047,-0.0131576552878555,-0.0284342231358571
"rs929708","male",0.171717171717172,-0.00406422230597484,-0.019818925784136,-0.00379640281579835,-0.0204530977379261
"rs929708","male",0.181818181818182,0.00651805101016548,-0.0132628160660918,0.00605390794037608,-0.012313778946064
