"SampleID","Basis1","Basis2","Basis3","Basis4","Basis5","Basis6","Basis7","Basis8","Basis9"
"TCGA-06-0127",-0.794947518408218,0.45517287389334,-0.612432068107593,0.678724566154662,-0.779522376571599,0.742177306167394,-0.714783707076584,0.637377160062619,-0.535670072291896
"TCGA-06-0129",-0.645887341829913,0.355760132450193,-0.535605148532728,0.594322695163364,-0.466572905370011,0.337834730453036,-0.32908744621196,0.377770558971963,-0.416531692929416
"TCGA-06-0133",-1.22529396020956,1.05344387542512,-1.19363830925587,1.28626679475085,-1.36659793168136,1.34995770140504,-1.12797115824007,0.94948550014264,-0.785874941498274
"TCGA-06-0137",-1.00920001273602,0.631547422941852,-0.45655701811309,0.592855101623864,-0.657932329162237,0.77571136569915,-0.835473092702714,0.904580094039327,-0.695171718017519
"TCGA-06-0145",-0.846377280581868,0.306959515509507,-0.475146021490977,0.336150205478255,-0.349451779523201,0.733898286163968,-0.961773548786288,0.791828027535924,-0.60344229202888
"TCGA-06-0147",-0.779997873877412,0.611567279392463,-0.849540454755557,0.833400952015712,-0.831501782143306,0.831374685743185,-0.721450320088378,0.652273947884342,-0.579610495559071
"TCGA-06-0149",-1.22389911390702,1.20829071254526,-1.38549730171807,1.15970089687119,-1.19394605784289,1.33350666884412,-1.30494511912252,1.17568955735266,-0.806518312895386
"TCGA-06-0154",-0.855958880423429,0.712609731439295,-0.889896667718005,0.864045655599994,-0.76779391225772,0.870686852142341,-0.837086693019688,0.70060163962291,-0.585439329391193
"TCGA-06-0158",-1.03200552226992,0.819699193247155,-0.838562171225855,0.9005562033204,-0.946881366173599,1.04066266941167,-0.888314323672334,0.690046000360042,-0.609201232455663
"TCGA-06-0162",-0.946700827350872,0.522982824018365,-0.648673638538251,0.620049792973425,-0.779136287373685,0.937981750299346,-0.950324566026462,0.896772641151605,-0.641210450926602
"TCGA-06-0164",-0.632740311050623,0.265221714448972,-0.270929231665984,0.268198396412641,-0.586989395462177,1.13107703788869,-0.947807163645151,0.699976437844839,-0.61033390439381
"TCGA-06-0166",-0.913880157704143,0.673540488785073,-0.705205408513047,0.664350133346518,-0.654042959365465,0.579147331137121,-0.618356605811243,0.603115551095919,-0.53028982600834
