"ID","alpha","alpha_se","beta","beta_se","p.joint","fdr_value"
"Mediator989",0.179818895002696,0.122658940957193,7.16092972434737,0.150341611692437,0.143360580760997,0.340561200967088
"Mediator92",0.187338571872341,0.13064132985687,-5.40912448437109,0.157417725367024,0.152284921674077,0.340561200967088
"Mediator93",0.186880059543475,0.130322653461321,-0.386540764831565,0.157789062892231,0.152288276994441,0.340561200967088
"Mediator431",0.207746592839629,0.122521612528075,0.20779884947466,0.145181216765969,0.15234233218646,0.340561200967088
"Mediator91",0.187051948438288,0.13072142656887,-3.97633329600609,0.157448019703372,0.153162865335842,0.340561200967088
"Mediator90",0.186146033022617,0.130599519536163,-1.13977694727877,0.157450293924847,0.154773859686123,0.340561200967088
"Mediator96",0.18264173782514,0.128566433312699,-1.69220383683502,0.158055666157842,0.156140718120478,0.340561200967088
"Mediator101",0.175907597180532,0.126213018437705,0.415835975027872,0.158076584085646,0.164100932710253,0.340561200967088
"Mediator105",0.172880066101929,0.125219743756797,0.541016507085589,0.157977516204501,0.168098747264292,0.340561200967088
"Mediator106",0.172355366348021,0.125045796167443,0.560439073865855,0.157782643190038,0.168799409404059,0.340561200967088
"Mediator107",0.171906728761672,0.124894193474151,0.677199325184342,0.157893825899037,0.169392013718417,0.340561200967088
"Mediator109",0.171205243779733,0.124644274015842,2.33583971352073,0.157263806646879,0.170280600467412,0.340561200967088
"Mediator78",0.165808547368515,0.12646899987449,0.55816501481041,0.155031056115039,0.190521030170795,0.366614844928883
"Mediator77",0.163888401336612,0.126106348193878,3.77645949884552,0.154171809918555,0.194416963219779,0.366614844928883
"Mediator441",0.204645659901647,0.122487671368267,-0.164225038413559,0.14464347830095,0.256216929116747,0.469731036734556
"Mediator102",0.174981852288166,0.12590843110965,-0.14539908969321,0.158095291305744,0.357733354024149,0.62840658520487
"Mediator447",0.202754343217321,0.122470353312138,0.131946329532309,0.144690389604741,0.361809852014257,0.62840658520487
"Mediator445",0.203384385639017,0.122475913830673,-0.124701254556505,0.144732507721784,0.388908713515505,0.658153207552757
"Mediator446",0.203069187610739,0.122473122517283,-0.101906116183621,0.144640597802734,0.481092118450826,0.793801995462718
"Mediator976",0.184127280519221,0.125512498996946,0.0998237253970961,0.150343746672729,0.506709563626175,0.815678809773262
