"Gene","Basis","basis_index","term","estimate","std_error","statistic","p_value"
"PDGFRA","Basis3",3,"Classical",-0.0807150689272723,0.105585120987809,-0.764454955131337,0.44780553771641
"PDGFRA","Basis3",3,"Mesenchymal",-0.343712003605689,0.128133105431869,-2.68246057447228,0.00958800676271483
"PDGFRA","Basis3",3,"Neural",-0.369689343016887,0.140367541109591,-2.63372386589187,0.0108983215851472
"PDGFRA","Basis3",3,"Proneural",-0.253797677802801,0.19260651501047,-1.3177003788735,0.192969453468063
"PDGFRA","Basis4",4,"(Intercept)",0.0201766086696246,0.236934767648954,0.0851568086432911,0.932440450743266
"PDGFRA","Basis4",4,"Exposure",0.0421423008427411,0.194395496095157,0.216786405494253,0.829162648816231
"PDGFRA","Basis4",4,"Age",0.00796854485054321,0.0033333859985192,2.39052568591909,0.0202119546217737
"PDGFRA","Basis4",4,"Gender",-0.211385383134824,0.098276899107289,-2.15091628912766,0.0358127363141686
"PDGFRA","Basis4",4,"Classical",0.0913797468771527,0.110803054979455,0.824704218616502,0.413038659445855
"PDGFRA","Basis4",4,"Mesenchymal",0.326349349879177,0.134465343156589,2.42701459140393,0.0184660723753179
"PDGFRA","Basis4",4,"Neural",0.418676200470952,0.147304395064269,2.84225192526185,0.00623882633053917
"PDGFRA","Basis4",4,"Proneural",0.2494654074607,0.202124978145078,1.23421365211796,0.222277734094844
"PDGFRA","Basis5",5,"(Intercept)",-0.166771768792771,0.247249655355468,-0.67450758850606,0.502763833399697
"PDGFRA","Basis5",5,"Exposure",-0.0959700606948702,0.202858448716126,-0.473088803065667,0.637988726881269
"PDGFRA","Basis5",5,"Age",-0.00723351181932324,0.00347850400968476,-2.07948928596428,0.0421629811439754
"PDGFRA","Basis5",5,"Gender",0.181613944779059,0.102555355952162,1.77088698189273,0.0820217226294694
"PDGFRA","Basis5",5,"Classical",-0.0433021353478751,0.115626834456788,-0.374499012718868,0.709447521548289
"PDGFRA","Basis5",5,"Mesenchymal",-0.269729183411845,0.140319253618278,-1.92225355007669,0.0596665732699259
"PDGFRA","Basis5",5,"Neural",-0.403674061840407,0.153717249998312,-2.62608173022117,0.0111180125440759
"PDGFRA","Basis5",5,"Proneural",-0.193247916760771,0.210924431568212,-0.91619503404126,0.363493340131893
"PDGFRA","Basis6",6,"(Intercept)",0.459218295298214,0.258693465238936,1.77514455138659,0.0813086157059205
"PDGFRA","Basis6",6,"Exposure",0.130024861639929,0.212247636810342,0.612609231339124,0.542614566477078
"PDGFRA","Basis6",6,"Age",0.00529196862111122,0.00363950459230836,1.45403542896886,0.151518420620372
"PDGFRA","Basis6",6,"Gender",-0.189134073775286,0.107302072360566,-1.76263206864954,0.0834191933311515
"PDGFRA","Basis6",6,"Classical",-0.00489032046618327,0.120978556824402,-0.0404230352431917,0.96789964036644
"PDGFRA","Basis6",6,"Mesenchymal",0.181321140810654,0.146813850583799,1.23504110878939,0.221972001952348
"PDGFRA","Basis6",6,"Neural",0.330297291631754,0.160831965617475,2.05367938123282,0.044687278583811
"PDGFRA","Basis6",6,"Proneural",0.108872985273303,0.220686949098013,0.493336763765536,0.623703861826469
"PDGFRA","Basis7",7,"(Intercept)",-0.640029776181039,0.193104324707823,-3.31442486930025,0.0016145555269151
"PDGFRA","Basis7",7,"Exposure",-0.0876738315289569,0.15843437150311,-0.553376333034122,0.582208436425326
"PDGFRA","Basis7",7,"Age",-0.0027896703830164,0.00271674460705685,-1.02684307379138,0.308909450836004
"PDGFRA","Basis7",7,"Gender",0.181417861698078,0.0800967052020391,2.2649853229351,0.0274021166955232
"PDGFRA","Basis7",7,"Classical",0.00899217119331717,0.0903056538290441,0.0995748417960638,0.921037478748589
"PDGFRA","Basis7",7,"Mesenchymal",-0.0944279319413114,0.109590667273155,-0.861642093171581,0.392559117444688
"PDGFRA","Basis7",7,"Neural",-0.214167129785211,0.120054629456175,-1.78391396279634,0.0798560895598416
"PDGFRA","Basis7",7,"Proneural",-0.0571148028359673,0.164733980574425,-0.346709298450804,0.730109192913968
"PDGFRA","Basis8",8,"(Intercept)",0.65470461849692,0.142987640992768,4.57874970138178,2.64980284221183e-05
"PDGFRA","Basis8",8,"Exposure",0.0125681366488919,0.117315637895103,0.107130957768218,0.915067975374592
"PDGFRA","Basis8",8,"Age",0.00176977223195055,0.00201166340075834,0.879755644648801,0.382751462665552
"PDGFRA","Basis8",8,"Gender",-0.169751101938951,0.0593090752652041,-2.86214379805954,0.00590780160968463
"PDGFRA","Basis8",8,"Classical",0.0189105906265711,0.0668684786260583,0.282802764697591,0.778370764789153
"PDGFRA","Basis8",8,"Mesenchymal",0.0691724627716632,0.0811484207405577,0.852419087647027,0.397612542211723
"PDGFRA","Basis8",8,"Neural",0.147098502224342,0.0888966535688563,1.65471360640595,0.103577381335003
"PDGFRA","Basis8",8,"Proneural",0.0633739710421392,0.121980299039523,0.519542676490777,0.605429924261096
"PDGFRA","Basis9",9,"(Intercept)",-0.620084609948401,0.0704637388560107,-8.80005262303089,3.80169055990623e-12
"PDGFRA","Basis9",9,"Exposure",-0.0500363531313462,0.0578126781795429,-0.865491008320933,0.390462115619997
